time,speed_p02r11c01srv01_fan_rpm,speed_p02r11c01srv02_fan_rpm,speed_p02r11c01srv03_fan_rpm,speed_p02r11c02srv01_fan_rpm,speed_p02r11c02srv02_fan_rpm,speed_p02r11c02srv03_fan_rpm,speed_p02r11c03srv01_fan_rpm,speed_p02r11c03srv02_fan_rpm,speed_p02r11c03srv03_fan_rpm,speed_p02r11c04srv01_fan_rpm,speed_p02r11c04srv02_fan_rpm,speed_p02r11c04srv03_fan_rpm,speed_p02r11c05srv01_fan_rpm,speed_p02r11c05srv02_fan_rpm,speed_p02r11c05srv03_fan_rpm,speed_p02r11c06srv01_fan_rpm,speed_p02r11c06srv02_fan_rpm,speed_p02r11c06srv03_fan_rpm,speed_p02r11c07srv01_fan_rpm,speed_p02r11c07srv02_fan_rpm,speed_p02r11c07srv03_fan_rpm,speed_p02r11c08srv01_fan_rpm,speed_p02r11c08srv02_fan_rpm,speed_p02r11c08srv03_fan_rpm,speed_p02r11c09srv01_fan_rpm,speed_p02r11c09srv02_fan_rpm,speed_p02r11c09srv03_fan_rpm,speed_p02r11c10srv01_fan_rpm,speed_p02r11c10srv02_fan_rpm,speed_p02r11c10srv03_fan_rpm
02-Oct-2019 09:29:00,1900.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0
02-Oct-2019 09:30:00,1900.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0
02-Oct-2019 09:31:00,1900.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0
02-Oct-2019 09:32:00,1900.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0
02-Oct-2019 09:33:00,1900.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0
02-Oct-2019 09:34:00,1900.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0
02-Oct-2019 09:35:00,1900.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0
02-Oct-2019 09:36:00,1900.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0
02-Oct-2019 09:37:00,1900.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0
02-Oct-2019 09:38:00,1900.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0
