time,realpower_l1,realpower_l2,realpower_l3,front_temperature_temp_bottom,front_temperature_temp_middle,front_temperature_temp_top,rear_temperature_temp_bottom,rear_temperature_temp_middle,rear_temperature_temp_top
23-Jan-2018 09:00:00,5936,5904,5952,19.69,24.805,28.75,33.5,32.01,30.78
23-Jan-2018 09:01:00,5984,5968,6000,19.78,24.83,28.75,33.595,33.29,30.97
23-Jan-2018 09:02:00,5984,5968,6000,19.94,24.9,28.81,33.78,34.7,31.375
23-Jan-2018 09:03:00,5984,6016,6000,20.095,25.065,28.97,33.72,35.96,31.935
23-Jan-2018 09:04:00,6000,6016,6000,20.22,25.22,29.19,33.565,36.92,32.595
23-Jan-2018 09:05:00,6016,6048,6048,20.28,25.27,29.5,33.815,37.615,33.22
23-Jan-2018 09:06:00,6016,6048,6048,20.38,25.295,29.75,33.97,38.205,33.845
23-Jan-2018 09:07:00,6016,6048,6048,20.44,25.41,30.155,34.095,38.67,34.375
23-Jan-2018 09:08:00,6048,6048,6080,20.56,25.46,30.47,34.28,39.06,34.905
23-Jan-2018 09:09:00,6048,6048,6080,20.595,25.615,30.845,34.41,39.34,35.285
23-Jan-2018 09:10:00,6048,6048,6048,20.69,25.7,31.155,34.56,39.575,35.685
23-Jan-2018 09:11:00,6048,6016,6048,20.75,25.77,31.41,34.595,39.825,36.035
23-Jan-2018 09:12:00,6048,6016,6048,20.75,25.835,31.625,34.78,40.065,36.405
23-Jan-2018 09:13:00,6016,6048,6048,20.78,25.87,31.875,34.88,40.215,36.69
23-Jan-2018 09:14:00,6016,6080,6048,20.81,25.82,32.065,34.88,40.315,36.94
23-Jan-2018 09:15:00,6016,6080,6048,20.81,25.81,32.19,34.97,40.395,37.19
23-Jan-2018 09:16:00,6016,6048,6080,20.845,25.875,32.345,35.035,40.475,37.41
23-Jan-2018 09:17:00,6016,6048,6064,20.88,25.94,32.47,35.16,40.575,37.565
23-Jan-2018 09:18:00,6016,6080,6064,20.91,25.9,32.565,35.345,40.62,37.66
23-Jan-2018 09:19:00,6016,6048,6064,20.97,25.88,32.72,35.47,40.65,37.75
23-Jan-2018 09:20:00,6016,6048,6064,21,25.895,32.72,35.47,40.68,37.845
23-Jan-2018 09:21:00,6016,6048,6064,21.06,25.915,32.845,35.595,40.71,37.94
23-Jan-2018 09:22:00,6016,6048,6064,21.13,25.865,32.88,35.75,40.735,38.03
23-Jan-2018 09:23:00,6016,6048,6064,21.16,25.745,32.91,35.88,40.74,38.06
23-Jan-2018 09:24:00,6016,6048,6064,21.28,25.655,32.88,35.94,40.765,38.06
23-Jan-2018 09:25:00,6016,6048,6112,21.375,25.53,32.91,35.97,40.755,38.13
23-Jan-2018 09:26:00,6016,6048,6080,21.47,25.585,32.94,36.095,40.76,38.13
23-Jan-2018 09:27:00,6016,6016,6080,21.53,25.635,32.94,36.16,40.745,38.19
23-Jan-2018 09:28:00,6016,6032,6096,21.53,25.615,32.97,36.095,40.75,38.22
23-Jan-2018 09:29:00,6016,6032,6096,21.56,25.675,32.94,36,40.775,38.25
23-Jan-2018 09:30:00,6016,6032,6096,21.56,25.645,32.94,35.905,40.805,38.38
23-Jan-2018 09:31:00,6016,6032,6096,21.595,25.71,32.97,36.03,40.86,38.44
23-Jan-2018 09:32:00,6016,6032,6096,21.63,25.65,32.97,36.03,40.885,38.47
23-Jan-2018 09:33:00,6016,6032,6096,21.72,25.61,32.94,36.03,40.91,38.5
23-Jan-2018 09:34:00,6016,6032,6096,21.72,25.595,32.97,36.13,40.895,38.595
23-Jan-2018 09:35:00,6016,6032,6096,21.75,25.57,32.97,36.19,40.9,38.595
23-Jan-2018 09:36:00,6016,6032,6096,21.78,25.565,32.94,36,40.9,38.66
23-Jan-2018 09:37:00,6016,6032,6096,21.75,25.55,32.94,36.22,40.92,38.66
23-Jan-2018 09:38:00,6016,6032,6096,21.81,25.65,32.91,36.5,40.925,38.69
23-Jan-2018 09:39:00,6016,6032,6096,21.88,25.715,32.845,36.69,40.92,38.72
23-Jan-2018 09:40:00,6016,6032,6096,21.88,25.725,32.72,36.75,40.93,38.72
23-Jan-2018 09:41:00,5984,5984,6048,21.97,25.685,32.405,36.595,40.89,38.72
23-Jan-2018 09:42:00,5984,5984,6048,22.03,25.525,32.005,36.56,40.87,38.75
23-Jan-2018 09:43:00,5984,5984,6048,22.095,25.11,31.505,36.56,40.81,38.81
23-Jan-2018 09:44:00,5984,5984,6048,22.28,24.815,30.905,36.66,40.77,38.88
23-Jan-2018 09:45:00,5984,5984,6048,22.44,24.635,30.315,36.63,40.7,38.845
23-Jan-2018 09:46:00,5952,5952,6016,22.66,24.17,29.72,36.53,40.67,38.88
23-Jan-2018 09:47:00,5952,5984,6016,22.875,23.96,29.155,36.56,40.735,38.88
23-Jan-2018 09:48:00,5952,5952,6016,22.94,23.81,28.625,36.405,40.775,38.94
23-Jan-2018 09:49:00,5952,5984,6016,23.095,23.795,28.22,36.435,40.825,38.91
23-Jan-2018 09:50:00,5952,5968,6016,23.095,23.7,27.875,36.41,40.845,38.97
23-Jan-2018 09:51:00,5952,5968,6016,23.19,23.655,27.655,36.405,40.91,38.97
23-Jan-2018 09:52:00,5952,5968,6016,23.25,23.82,27.5,36.56,40.95,39
23-Jan-2018 09:53:00,5952,5968,6016,23.28,23.89,27.41,36.72,40.98,39
23-Jan-2018 09:54:00,5952,5968,6016,23.345,23.87,27.345,36.785,40.99,39.06
23-Jan-2018 09:55:00,5952,5968,6000,23.41,23.97,27.31,37.095,41.005,39.03
23-Jan-2018 09:56:00,5952,5968,6000,23.5,24.15,27.41,37.22,41.055,39.06
23-Jan-2018 09:57:00,5952,6000,6000,23.53,24.18,27.38,37.19,41.1,39.06
23-Jan-2018 09:58:00,5952,6000,6000,23.56,24.285,27.41,37.25,41.135,39.16
23-Jan-2018 09:59:00,5952,6000,6000,23.595,24.16,27.38,37.28,41.12,39.16
23-Jan-2018 10:00:00,5952,6000,6000,23.56,24.195,27.41,37.47,41.15,39.16
23-Jan-2018 10:01:00,5952,6000,6000,23.53,24.235,27.41,37.345,41.17,39.19
23-Jan-2018 10:02:00,5952,6000,6000,23.53,24.22,27.345,37.285,41.175,39.16
23-Jan-2018 10:03:00,5952,6000,6000,23.53,24.175,27.345,37,41.19,39.19
23-Jan-2018 10:04:00,5952,6000,5994.66666666667,23.47,24.17,27.28,36.78,41.185,39.19
23-Jan-2018 10:05:00,5952,6000,6016,23.5,24.06,27.25,36.845,41.155,39.22
23-Jan-2018 10:06:00,5952,6000,6016,23.47,23.96,27.22,36.815,41.16,39.22
23-Jan-2018 10:07:00,5952,6000,6016,23.41,23.95,27.25,36.815,41.17,39.19
23-Jan-2018 10:08:00,5952,6000,6016,23.47,23.93,27.22,36.875,41.15,39.22
23-Jan-2018 10:09:00,5952,6000,5984,23.44,24.065,27.22,36.75,41.165,39.25
23-Jan-2018 10:10:00,5952,6000,6016,23.47,24.19,27.22,36.81,41.17,39.22
23-Jan-2018 10:11:00,5952,6000,6016,23.47,24.135,27.19,36.535,41.18,39.22
23-Jan-2018 10:12:00,5952,6000,6016,23.53,24.19,27.19,36.75,41.195,39.22
23-Jan-2018 10:13:00,5952,6000,6016,23.5,24.18,27.25,36.375,41.205,39.25
23-Jan-2018 10:14:00,5952,6000,6016,23.595,24.19,27.22,36.065,41.225,39.25
23-Jan-2018 10:15:00,5952,6000,6016,23.595,24.165,27.22,36.22,41.24,39.28
23-Jan-2018 10:16:00,5952,6000,6016,23.595,24.22,27.31,36.435,41.265,39.28
23-Jan-2018 10:17:00,5952,6000,6016,23.66,24.27,27.31,36.22,41.27,39.31
23-Jan-2018 10:18:00,5952,6000,6016,23.69,24.325,27.345,36.38,41.29,39.31
23-Jan-2018 10:19:00,5952,6000,6016,23.69,24.31,27.345,36.25,41.32,39.38
23-Jan-2018 10:20:00,5952,6000,6016,23.66,24.315,27.31,36.44,41.33,39.38
23-Jan-2018 10:21:00,5952,6000,6016,23.69,24.265,27.31,36.625,41.335,39.38
23-Jan-2018 10:22:00,5952,6000,6016,23.66,24.265,27.345,36.595,41.34,39.38
23-Jan-2018 10:23:00,5952,6000,6016,23.66,24.27,27.38,36.565,41.35,39.345
23-Jan-2018 10:24:00,5952,6000,6016,23.63,24.135,27.41,36.88,41.36,39.345
23-Jan-2018 10:25:00,5952,6000,6016,23.56,24.085,27.41,36.97,41.32,39.31
23-Jan-2018 10:26:00,5952,6000,6016,23.56,24.08,27.345,36.88,41.32,39.31
23-Jan-2018 10:27:00,5952,6000,6016,23.595,24.1,27.38,36.91,41.29,39.345
23-Jan-2018 10:28:00,5952,6000,6016,23.56,23.925,27.41,36.875,41.29,39.31
23-Jan-2018 10:29:00,5952,6000,6016,23.53,24.005,27.38,36.94,41.28,39.345
23-Jan-2018 10:30:00,5952,6000,6016,23.56,23.905,27.41,36.785,41.255,39.31
23-Jan-2018 10:31:00,5952,6000,6000,23.53,23.95,27.38,36.755,41.265,39.31
23-Jan-2018 10:32:00,5952,6000,6000,23.595,24.03,27.345,36.69,41.28,39.31
23-Jan-2018 10:33:00,5952,6000,6000,23.56,24.065,27.345,36.595,41.28,39.31
23-Jan-2018 10:34:00,5952,6000,6000,23.595,24.055,27.38,36.685,41.29,39.28
23-Jan-2018 10:35:00,5952,6000,6000,23.66,24.01,27.38,36.69,41.29,39.31
23-Jan-2018 10:36:00,5952,6000,6000,23.63,24.02,27.345,36.5,41.3,39.345
23-Jan-2018 10:37:00,5952,6000,6000,23.63,23.945,27.44,36.41,41.3,39.31
23-Jan-2018 10:38:00,5952,6000,6000,23.63,23.965,27.38,36.47,41.3,39.31
23-Jan-2018 10:39:00,5952,6000,5984,23.66,24.035,27.38,36.56,41.3,39.345
23-Jan-2018 10:40:00,5952,6000,6016,23.69,24.17,27.41,36.565,41.32,39.38
23-Jan-2018 10:41:00,5952,6016,6016,23.66,24.12,27.38,36.47,41.335,39.38
23-Jan-2018 10:42:00,5952,5984,6016,23.66,24.145,27.38,36.66,41.31,39.41
23-Jan-2018 10:43:00,5952,6016,6016,23.66,24.295,27.38,36.595,41.33,39.38
23-Jan-2018 10:44:00,5952,6016,6016,23.66,24.395,27.44,36.47,41.365,39.375
23-Jan-2018 10:45:00,5952,5984,6016,23.72,24.38,27.41,36.345,41.39,39.38
23-Jan-2018 10:46:00,5952,6000,6016,23.72,24.395,27.47,36.53,41.38,39.38
23-Jan-2018 10:47:00,5984,6016,6016,23.78,24.48,27.47,36.47,41.425,39.38
23-Jan-2018 10:48:00,5952,5994.66666666667,6016,23.75,24.4,27.5,36.47,41.425,39.38
23-Jan-2018 10:49:00,5952,6016,6016,23.78,24.4,27.5,36.845,41.44,39.41
23-Jan-2018 10:50:00,5952,5984,6016,23.72,24.33,27.5,36.81,41.45,39.38
23-Jan-2018 10:51:00,5952,5984,6016,23.69,24.24,27.47,36.8333333333333,41.425,39.38
23-Jan-2018 10:52:00,5952,5984,6016,23.66,24.16,27.41,36.66,41.415,39.38
23-Jan-2018 10:53:00,5952,5984,6016,23.63,24.15,27.38,36.72,41.4,39.38
23-Jan-2018 10:54:00,5952,6016,5984,23.63,24.195,27.345,36.88,41.375,39.38
23-Jan-2018 10:55:00,5952,5984,6016,23.5,23.955,27.38,36.94,41.35,39.41
23-Jan-2018 10:56:00,5952,5984,5984,23.53,23.925,27.38,37.035,41.31,39.38
23-Jan-2018 10:57:00,5952,5984,6016,23.5,23.805,27.345,37.06,41.33,39.38
23-Jan-2018 10:58:00,5952,5984,6000,23.53,23.82,27.31,37.25,41.28,39.41
23-Jan-2018 10:59:00,5952,5984,5984,23.53,23.845,27.38,37.13,41.27,39.38
23-Jan-2018 11:00:00,5952,5984,6016,23.5,23.945,27.31,37.095,41.275,39.38
23-Jan-2018 11:01:00,5952,5984,6000,23.595,24.045,27.41,36.91,41.275,39.38
23-Jan-2018 11:02:00,5952,5984,6000,23.625,24.11,27.44,36.91,41.3,39.38
23-Jan-2018 11:03:00,5952,5984,6000,23.72,24.165,27.38,36.75,41.34,39.41
23-Jan-2018 11:04:00,5952,5984,6000,23.72,24.185,27.38,36.78,41.345,39.345
23-Jan-2018 11:05:00,5952,5984,6000,23.69,24.18,27.41,36.91,41.36,39.41
23-Jan-2018 11:06:00,5952,5984,6000,23.69,24.18,27.38,36.815,41.37,39.41
23-Jan-2018 11:07:00,5952,6000,6000,23.66,24.25,27.44,36.875,41.355,39.41
23-Jan-2018 11:08:00,5952,6000,6000,23.69,24.105,27.44,36.47,41.36,39.44
23-Jan-2018 11:09:00,5952,6000,6000,23.69,24.075,27.44,36.66,41.33,39.41
23-Jan-2018 11:10:00,5952,6000,6000,23.69,24.065,27.47,36.72,41.35,39.41
23-Jan-2018 11:11:00,5952,6000,6000,23.69,24.185,27.5,36.94,41.35,39.44
23-Jan-2018 11:12:00,5952,6000,6000,23.69,24.185,27.5,36.91,41.35,39.44
23-Jan-2018 11:13:00,5952,6000,6000,23.69,24.25,27.5,36.875,41.365,39.44
23-Jan-2018 11:14:00,5952,6000,6000,23.75,24.25,27.5,36.845,41.375,39.44
23-Jan-2018 11:15:00,5952,6000,6000,23.72,24.19,27.5,36.845,41.385,39.44
23-Jan-2018 11:16:00,5952,6000,6000,23.72,24.22,27.5,36.625,41.405,39.44
23-Jan-2018 11:17:00,5952,6000,6000,23.69,24.09,27.47,36.625,41.38,39.44
23-Jan-2018 11:18:00,5952,6000,6000,23.69,24.105,27.44,36.63,41.38,39.47
23-Jan-2018 11:19:00,5952,6000,6000,23.69,24.105,27.5,36.315,41.385,39.47
23-Jan-2018 11:20:00,5952,6000,6000,23.69,24.065,27.5,36.565,41.375,39.44
23-Jan-2018 11:21:00,5952,6000,6000,23.63,24.04,27.44,36.97,41.365,39.47
23-Jan-2018 11:22:00,5952,6000,6000,23.595,24.085,27.44,36.72,41.335,39.44
23-Jan-2018 11:23:00,5952,6000,6000,23.595,24.04,27.44,37,41.34,39.44
23-Jan-2018 11:24:00,5952,6000,6000,23.63,23.915,27.38,37.03,41.31,39.41
23-Jan-2018 11:25:00,5952,6000,6000,23.595,24.03,27.41,37.005,41.335,39.44
23-Jan-2018 11:26:00,5952,6000,6000,23.595,24.155,27.47,36.94,41.31,39.44
23-Jan-2018 11:27:00,5952,6000,6000,23.595,24.135,27.44,36.845,41.335,39.44
23-Jan-2018 11:28:00,5952,6000,6000,23.69,24.2,27.38,37,41.36,39.41
23-Jan-2018 11:29:00,5952,6000,6000,23.75,24.245,27.44,37,41.38,39.44
23-Jan-2018 11:30:00,5952,6016,6000,23.81,24.31,27.44,37.065,41.405,39.44
23-Jan-2018 11:31:00,5984,6016,6000,23.81,24.24,27.47,37.095,41.42,39.47
23-Jan-2018 11:32:00,5984,6016,6000,23.81,24.42,27.47,37.22,41.43,39.47
23-Jan-2018 11:33:00,5984,6016,6000,23.845,24.38,27.5,37.19,41.42,39.44
23-Jan-2018 11:34:00,5952,6016,6000,23.845,24.435,27.5,37.47,41.39,39.47
23-Jan-2018 11:35:00,5952,5984,6000,23.845,24.39,27.56,37.315,41.375,39.44
23-Jan-2018 11:36:00,5952,5984,6000,23.81,24.24,27.595,37.13,41.38,39.44
23-Jan-2018 11:37:00,5952,6000,6000,23.78,24.325,27.595,37.03,41.42,39.44
23-Jan-2018 11:38:00,5952,6000,6000,23.75,24.155,27.595,36.81,41.4,39.5
23-Jan-2018 11:39:00,5952,6000,6000,23.69,24.005,27.53,36.78,41.36,39.44
23-Jan-2018 11:40:00,5952,6000,6000,23.69,23.89,27.53,36.88,41.375,39.44
23-Jan-2018 11:41:00,5952,6000,6000,23.595,23.895,27.56,36.97,41.335,39.47
23-Jan-2018 11:42:00,5952,6000,6000,23.595,23.905,27.41,37,41.31,39.47
23-Jan-2018 11:43:00,5952,6000,6000,23.595,24.015,27.44,36.845,41.315,39.44
23-Jan-2018 11:44:00,5952,6000,6016,23.595,23.95,27.44,36.905,41.33,39.44
23-Jan-2018 11:45:00,5952,6000,6016,23.595,24.085,27.41,36.845,41.305,39.44
23-Jan-2018 11:46:00,5952,6000,6016,23.66,24.135,27.47,37,41.305,39.44
23-Jan-2018 11:47:00,5952,6000,6016,23.69,24.135,27.47,36.935,41.35,39.44
23-Jan-2018 11:48:00,5952,6000,6016,23.72,24.22,27.47,37.065,41.385,39.44
23-Jan-2018 11:49:00,5952,6016,6016,23.75,24.365,27.53,37.25,41.415,39.44
23-Jan-2018 11:50:00,5952,5984,6016,23.81,24.325,27.56,37.095,41.405,39.41
23-Jan-2018 11:51:00,5952,6000,6016,23.81,24.3,27.5,37.155,41.45,39.44
23-Jan-2018 11:52:00,5952,6000,6016,23.845,24.275,27.595,37.095,41.435,39.44
23-Jan-2018 11:53:00,5952,6016,6016,23.78,24.275,27.56,37,41.435,39.47
23-Jan-2018 11:54:00,5952,5984,6016,23.78,24.22,27.5,36.97,41.46,39.5
23-Jan-2018 11:55:00,5952,6016,6016,23.78,24.175,27.56,37.125,41.445,39.5
23-Jan-2018 11:56:00,5952,5984,6016,23.72,24.085,27.53,37.03,41.43,39.5
23-Jan-2018 11:57:00,5952,5984,6016,23.72,24.08,27.5,37.095,41.42,39.5
23-Jan-2018 11:58:00,5952,5984,6016,23.69,24.135,27.47,37.155,41.405,39.47
23-Jan-2018 11:59:00,5952,5984,6016,23.66,24.09,27.44,37.16,41.39,39.47
23-Jan-2018 12:00:00,5952,5984,6016,23.63,24.09,27.44,37.19,41.38,39.5
23-Jan-2018 12:01:00,5952,6016,6016,23.56,24.095,27.44,37.19,41.38,39.44
23-Jan-2018 12:02:00,5952,5984,6016,23.63,24.005,27.44,37.31,41.36,39.44
23-Jan-2018 12:03:00,5952,5984,6016,23.66,24.095,27.44,37.06,41.36,39.44
23-Jan-2018 12:04:00,5952,5984,6016,23.69,24.135,27.44,37,41.355,39.47
23-Jan-2018 12:05:00,5952,5984,6016,23.66,24.23,27.5,37.03,41.38,39.47
23-Jan-2018 12:06:00,5952,5984,6016,23.75,24.19,27.47,37.03,41.415,39.47
23-Jan-2018 12:07:00,5984,6016,6016,23.75,24.175,27.5,36.97,41.425,39.44
23-Jan-2018 12:08:00,5952,5984,6016,23.75,24.295,27.5,36.91,41.42,39.47
23-Jan-2018 12:09:00,5952,6000,6016,23.81,24.305,27.56,37.13,41.44,39.47
23-Jan-2018 12:10:00,5952,6000,6016,23.81,24.295,27.56,37.22,41.46,39.47
23-Jan-2018 12:11:00,5952,6016,6016,23.78,24.29,27.56,37.16,41.46,39.5
23-Jan-2018 12:12:00,5952,6000,6016,23.81,24.34,27.595,37.19,41.455,39.47
23-Jan-2018 12:13:00,5952,5984,6016,23.78,24.325,27.53,37.095,41.47,39.5
23-Jan-2018 12:14:00,5952,5984,6016,23.69,24.22,27.53,36.72,41.43,39.56
23-Jan-2018 12:15:00,5952,5984,6016,23.66,24.105,27.5,36.97,41.42,39.5
23-Jan-2018 12:16:00,5952,5984,6016,23.595,24.07,27.5,36.94,41.39,39.44
23-Jan-2018 12:17:00,5952,5984,6016,23.56,24.4,27.53,37.06,41.415,39.47
23-Jan-2018 12:18:00,5952,5984,6016,23.56,24.225,27.5,36.815,41.43,39.5
23-Jan-2018 12:19:00,5952,5984,6016,23.53,24.245,27.56,37.065,41.43,39.53
23-Jan-2018 12:20:00,5952,5984,6016,23.56,24.34,27.56,37.345,41.44,39.5
23-Jan-2018 12:21:00,5952,5984,6016,23.66,24.44,27.56,36.91,41.455,39.47
23-Jan-2018 12:22:00,5952,6000,6016,23.66,24.565,27.53,36.94,41.475,39.5
23-Jan-2018 12:23:00,5952,6005.33333333333,6016,23.72,24.44,27.595,36.75,41.495,39.5
23-Jan-2018 12:24:00,5968,5984,6016,23.75,24.435,27.56,36.97,41.5,39.5
23-Jan-2018 12:25:00,5984,6016,6016,23.78,24.445,27.63,37.005,41.515,39.53
23-Jan-2018 12:26:00,5968,6016,6016,23.78,24.44,27.66,37.16,41.505,39.5
23-Jan-2018 12:27:00,5952,6000,6016,23.75,24.48,27.66,37.31,41.485,39.5
23-Jan-2018 12:28:00,5968,5984,6032,23.75,24.47,27.66,37.28,41.455,39.5
23-Jan-2018 12:29:00,5968,5984,6032,23.72,24.41,27.69,37.125,41.44,39.44
23-Jan-2018 12:30:00,5968,6016,6032,23.72,24.285,27.66,37,41.435,39.47
23-Jan-2018 12:31:00,5968,5984,6032,23.78,24.225,27.595,37.22,41.42,39.47
23-Jan-2018 12:32:00,5968,6005.33333333333,6032,23.78,24.345,27.595,36.94,41.45,39.47
23-Jan-2018 12:33:00,5968,5984,6032,23.75,24.175,27.595,36.845,41.45,39.47
23-Jan-2018 12:34:00,5968,6000,6032,23.78,24.33,27.63,36.94,41.465,39.44
23-Jan-2018 12:35:00,5968,6000,6032,23.78,24.295,27.63,36.88,41.475,39.53
23-Jan-2018 12:36:00,5968,6000,6032,23.75,24.305,27.63,36.91,41.475,39.5
23-Jan-2018 12:37:00,5968,6016,6032,23.75,24.29,27.63,36.97,41.48,39.47
23-Jan-2018 12:38:00,5968,6000,6032,23.72,24.345,27.63,36.405,41.455,39.47
23-Jan-2018 12:39:00,5968,5984,6032,23.69,24.225,27.56,36.685,41.435,39.47
23-Jan-2018 12:40:00,5968,5984,6032,23.75,24.215,27.53,36.845,41.44,39.44
23-Jan-2018 12:41:00,5968,6016,6032,23.69,24.26,27.47,36.91,41.44,39.44
23-Jan-2018 12:42:00,5968,5984,6032,23.75,24.29,27.47,36.69,41.425,39.5
23-Jan-2018 12:43:00,5968,5984,6032,23.75,24.375,27.53,36.78,41.45,39.47
23-Jan-2018 12:44:00,5968,6000,6032,23.81,24.385,27.53,37,41.47,39.47
23-Jan-2018 12:45:00,5968,6000,6032,23.88,24.275,27.63,37,41.475,39.47
23-Jan-2018 12:46:00,5968,6000,6032,23.875,24.225,27.72,37.065,41.49,39.47
23-Jan-2018 12:47:00,5968,6016,6032,23.94,24.155,27.88,37.125,41.485,39.5
23-Jan-2018 12:48:00,5968,5984,6032,23.97,24.155,27.94,37.065,41.485,39.5
23-Jan-2018 12:49:00,5968,6000,6032,23.94,24.215,27.94,37.03,41.51,39.56
23-Jan-2018 12:50:00,5968,6005.33333333333,6032,23.94,24.265,27.91,36.875,41.52,39.53
23-Jan-2018 12:51:00,5968,5984,6032,23.94,24.48,27.88,36.81,41.53,39.56
23-Jan-2018 12:52:00,5984,6016,6032,23.88,24.365,27.78,36.81,41.54,39.56
23-Jan-2018 12:53:00,5952,6016,6032,23.845,24.355,27.75,36.97,41.53,39.53
23-Jan-2018 12:54:00,5952,6016,6032,23.845,24.365,27.75,36.845,41.52,39.53
23-Jan-2018 12:55:00,5952,6016,6032,23.81,24.465,27.72,36.88,41.51,39.56
23-Jan-2018 12:56:00,5952,6000,6032,23.69,24.24,27.75,37.0633333333333,41.5,39.53
23-Jan-2018 12:57:00,5952,5984,6032,23.72,24.09,27.75,37.03,41.455,39.53
23-Jan-2018 12:58:00,5952,5984,6032,23.56,23.96,27.72,37.125,41.455,39.5
23-Jan-2018 12:59:00,5952,6005.33333333333,6032,23.53,23.915,27.75,37.13,41.44,39.47
23-Jan-2018 13:00:00,5952,5984,6032,23.56,23.94,27.69,37.06,41.44,39.47
23-Jan-2018 13:01:00,5968,6000,6032,23.63,24.01,27.63,37.095,41.43,39.47
23-Jan-2018 13:02:00,5968,6016,6032,23.595,24.1,27.63,37.065,41.405,39.44
23-Jan-2018 13:03:00,5968,6016,6032,23.595,24.09,27.595,37.035,41.405,39.47
23-Jan-2018 13:04:00,5984,6016,6032,23.66,24.52,27.595,36.38,41.42,39.5
23-Jan-2018 13:05:00,5952,6016,6032,23.69,24.515,27.63,35.685,41.44,39.44
23-Jan-2018 13:06:00,5984,5984,6032,23.81,24.595,27.66,35.72,41.43,39.38
23-Jan-2018 13:07:00,5952,6016,6032,23.91,24.585,27.69,35.595,41.445,39.31
23-Jan-2018 13:08:00,5952,6000,6032,24.03,24.465,27.72,35.815,41.445,39.345
23-Jan-2018 13:09:00,5952,5984,6032,24,24.275,27.66,36.505,41.425,39.31
23-Jan-2018 13:10:00,5984,6016,6032,24.03,24.375,27.66,36.565,41.46,39.31
23-Jan-2018 13:11:00,5952,6016,6032,24.06,24.39,27.625,36.505,41.46,39.41
23-Jan-2018 13:12:00,5984,6016,6032,24,24.32,27.595,36.5,41.475,39.41
23-Jan-2018 13:13:00,5952,6000,6032,23.97,24.41,27.63,36.47,41.495,39.44
23-Jan-2018 13:14:00,5952,5984,6032,23.94,24.325,27.56,36.97,41.5,39.47
23-Jan-2018 13:15:00,5952,6000,6016,23.91,24.09,27.5633333333333,36.97,41.49,39.5
23-Jan-2018 13:16:00,5952,6000,6016,23.845,24.115,27.5,36.785,41.47,39.5
23-Jan-2018 13:17:00,5952,6000,6016,23.845,24.09,27.44,36.81,41.435,39.44
23-Jan-2018 13:18:00,5952,6000,6016,23.81,24.12,27.38,36.625,41.43,39.41
23-Jan-2018 13:19:00,5952,6000,6016,23.72,24.065,27.345,36.5,41.415,39.41
23-Jan-2018 13:20:00,5952,6000,6016,23.72,24.175,27.31,36.625,41.42,39.345
23-Jan-2018 13:21:00,5952,6016,6016,23.78,24.375,27.31,36.78,41.435,39.31
23-Jan-2018 13:22:00,5952,6016,6016,23.75,24.385,27.28,37.03,41.445,39.28
23-Jan-2018 13:23:00,5984,6016,6016,23.78,24.43,27.28,37.005,41.455,39.25
23-Jan-2018 13:24:00,5968,6016,6048,23.81,24.635,27.25,37.22,41.43,39.25
23-Jan-2018 13:25:00,5968,6016,6048,23.845,24.62,27.22,37,41.44,39.28
23-Jan-2018 13:26:00,5968,6016,6048,23.91,24.75,27.25,37,41.45,39.22
23-Jan-2018 13:27:00,5968,6016,6048,23.97,24.8,27.31,36.875,41.435,39.22
23-Jan-2018 13:28:00,5968,6016,6048,24,25.085,27.38,36.94,41.44,39.22
23-Jan-2018 13:29:00,5968,6016,6048,24.095,25.065,27.41,37.06,41.435,39.22
23-Jan-2018 13:30:00,5968,6016,6048,24.06,24.92,27.47,36.655,41.45,39.22
23-Jan-2018 13:31:00,5968,6000,6048,24.06,24.685,27.5,36.75,41.44,39.25
23-Jan-2018 13:32:00,5952,5984,6048,24.03,24.52,27.56,36.315,41.39,39.345
23-Jan-2018 13:33:00,5952,6016,6048,23.97,24.575,27.595,36.16,41.365,39.345
23-Jan-2018 13:34:00,5968,5984,6016,24,24.65,27.595,36.44,41.36,39.31
23-Jan-2018 13:35:00,5968,6000,6016,23.97,24.56,27.5,36.78,41.36,39.25
23-Jan-2018 13:36:00,5968,6016,6016,23.97,24.63,27.53,36.94,41.395,39.19
23-Jan-2018 13:37:00,5968,5984,6016,23.845,24.56,27.5,36.905,41.44,39.19
23-Jan-2018 13:38:00,5968,5984,6016,23.845,24.495,27.47,36.72,41.46,39.16
23-Jan-2018 13:39:00,5968,5984,6016,23.81,24.485,27.38,36.595,41.46,39.125
23-Jan-2018 13:40:00,5968,5984,6016,23.81,24.455,27.345,36.56,41.47,39.095
23-Jan-2018 13:41:00,5968,5984,6016,23.88,24.36,27.41,36.44,41.475,39.095
23-Jan-2018 13:42:00,5968,5984,6016,23.845,24.295,27.38,36.625,41.485,39.13
23-Jan-2018 13:43:00,5968,5984,6016,23.88,24.275,27.38,36.47,41.475,39.095
23-Jan-2018 13:44:00,5968,5984,6016,23.845,24.23,27.38,36.345,41.475,39.13
23-Jan-2018 13:45:00,5968,5984,6016,23.88,24.12,27.31,36.755,41.465,39.16
23-Jan-2018 13:46:00,5968,5984,6016,23.78,24.02,27.22,36.72,41.45,39.19
23-Jan-2018 13:47:00,5968,5984,6016,23.81,24.105,27.25,35.905,41.44,39.19
23-Jan-2018 13:48:00,5968,5984,6016,23.81,24.15,27.22,35.66,41.455,39.16
