"Time";"speed_p02r11c01srv01_fan_rpm";"speed_p02r11c01srv02_fan_rpm";"speed_p02r11c01srv03_fan_rpm";"speed_p02r11c02srv01_fan_rpm";"speed_p02r11c02srv02_fan_rpm";"speed_p02r11c02srv03_fan_rpm";"speed_p02r11c03srv01_fan_rpm";"speed_p02r11c03srv02_fan_rpm";"speed_p02r11c03srv03_fan_rpm";"speed_p02r11c04srv01_fan_rpm";"speed_p02r11c04srv02_fan_rpm";"speed_p02r11c04srv03_fan_rpm";"speed_p02r11c05srv01_fan_rpm";"speed_p02r11c05srv02_fan_rpm";"speed_p02r11c05srv03_fan_rpm";"speed_p02r11c06srv01_fan_rpm";"speed_p02r11c06srv02_fan_rpm";"speed_p02r11c06srv03_fan_rpm";"speed_p02r11c07srv01_fan_rpm";"speed_p02r11c07srv02_fan_rpm";"speed_p02r11c07srv03_fan_rpm";"speed_p02r11c08srv01_fan_rpm";"speed_p02r11c08srv02_fan_rpm";"speed_p02r11c08srv03_fan_rpm";"speed_p02r11c09srv01_fan_rpm";"speed_p02r11c09srv02_fan_rpm";"speed_p02r11c09srv03_fan_rpm";"speed_p02r11c10srv01_fan_rpm";"speed_p02r11c10srv02_fan_rpm";"speed_p02r11c10srv03_fan_rpm"
"2019-10-01T08:01:05+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;2100;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:01:05+02:00";null;null;2100;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:01:05+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;2100;null;null;null;null;null
"2019-10-01T08:01:07+02:00";1900;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:01:08+02:00";null;null;null;null;2100;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:01:10+02:00";null;2100;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:01:10+02:00";null;null;null;null;null;null;null;null;2100;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:01:10+02:00";null;null;null;null;null;null;null;null;null;2100;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:01:11+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;2100;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:01:12+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;2100;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:01:13+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;2100;null;null;null;null;null;null;null;null;null
"2019-10-01T08:01:14+02:00";null;null;null;null;null;null;2100;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:01:15+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;2100;null
"2019-10-01T08:01:15+02:00";null;null;null;null;null;null;null;null;null;null;null;null;2100;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:01:16+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;2100
"2019-10-01T08:01:18+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;2100;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:01:19+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;2100;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:01:19+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;2100;null;null
"2019-10-01T08:01:20+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;2100;null;null;null
"2019-10-01T08:01:20+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;2100;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:01:21+02:00";null;null;null;null;null;null;null;2100;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:01:22+02:00";null;null;null;null;null;null;null;null;null;null;2100;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
"2019-10-01T08:01:22+02:00";null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;2100;null;null;null;null;null;null;null;null;null;null
